fold_num,train,ID
0,1,A004
0,1,A013
0,1,A018
0,1,A113
0,1,A115
0,1,A114
0,1,A012
0,1,A029
0,1,A125
0,1,A008
0,1,A006
0,1,A030
0,1,A503
0,1,A116
0,1,A003
0,1,A505
0,1,A023
0,1,A016
0,1,A500
0,1,A027
0,1,A009
0,1,A002
0,1,A502
0,1,A031
0,1,A014
0,1,A026
0,1,A025
0,1,A001
0,1,A019
0,1,A000
0,1,A022
0,1,A509
0,1,A506
0,1,A020
0,1,A011
0,1,A017
0,1,A005
0,1,A028
0,1,A010
0,1,A117
0,1,A104
0,1,A046
0,1,A039
0,1,A098
0,1,A047
0,1,A056
0,1,A403
0,1,A073
0,1,A143
0,1,A067
0,1,A138
0,1,A100
0,1,A137
0,1,A071
0,1,A148
0,1,A084
0,1,A079
0,1,A132
0,1,A055
0,1,A400
0,1,A043
0,1,A415
0,1,A089
0,1,A408
0,1,A141
0,1,A054
0,1,A419
0,1,A139
0,1,A077
0,1,A052
0,1,A060
0,1,A146
0,1,A416
0,1,A147
0,1,A411
0,1,A034
0,1,A108
0,1,A136
0,1,A070
0,1,A082
0,1,A099
0,1,A140
0,1,A081
0,1,A135
0,1,A418
0,1,A122
0,1,A131
0,1,A095
0,1,A409
0,1,A097
0,1,A142
0,1,A086
0,1,A061
0,1,A417
0,1,A036
0,1,A130
0,1,A037
0,1,A107
0,1,A068
0,1,A120
0,1,A065
0,1,A407
0,1,A133
0,1,A078
0,1,A044
0,1,A118
0,1,A075
0,1,A041
0,1,A050
0,1,A134
0,1,A410
0,1,A103
0,1,A093
0,1,A092
0,1,A110
0,1,A057
0,1,A048
0,1,A072
0,1,A088
0,1,A049
0,1,A053
0,1,A145
0,1,A087
0,1,A074
0,1,A413
0,1,A085
0,1,A080
0,1,A069
0,1,A106
0,1,A083
0,1,A168
0,1,A174
0,1,A185
0,1,A322
0,1,A166
0,1,A329
0,1,A310
0,1,A331
0,1,A324
0,1,A308
0,1,A181
0,1,A180
0,1,A188
0,1,A175
0,1,A165
0,1,A333
0,1,A184
0,1,A313
0,1,A320
0,1,A179
0,1,A326
0,1,A305
0,1,A321
0,1,A164
0,1,A325
0,1,A330
0,1,A173
0,1,A169
0,1,A318
0,1,A172
0,1,A304
0,1,A307
0,1,A183
0,1,A306
0,1,A163
0,1,A327
0,1,A167
0,1,A314
0,1,A328
0,1,A311
0,1,A316
0,1,A302
